fips,state,county_name,urbanicity,region,division,commuting_zone,metro_area,land_area,state_name,resident_population_2019,resident_population_15to64
1001,AL,Autauga County,small/mid,South,East South Central,60.0,33860.0,594.4490000000001,Alabama,55869.0,36029.0
1003,AL,Baldwin County,small/mid,South,East South Central,254.0,19300.0,1589.817,Alabama,223234.0,135555.0
1005,AL,Barbour County,rural,South,East South Central,20.0,,885.002,Alabama,24686.0,15903.0
1007,AL,Bibb County,suburban,South,East South Central,21.0,13820.0,622.461,Alabama,22394.0,14836.0
1009,AL,Blount County,suburban,South,East South Central,21.0,13820.0,644.821,Alabama,57826.0,35386.0
1011,AL,Bullock County,rural,South,East South Central,20.0,,622.806,Alabama,10101.0,6581.0
1013,AL,Butler County,rural,South,East South Central,60.0,,776.832,Alabama,19448.0,11801.0
1015,AL,Calhoun County,small/mid,South,East South Central,303.0,11500.0,605.889,Alabama,113605.0,72539.0
1017,AL,Chambers County,rural,South,East South Central,409.0,46740.0,596.531,Alabama,33254.0,20660.0
1019,AL,Cherokee County,rural,South,East South Central,558.0,,553.759,Alabama,26196.0,15913.0
1021,AL,Chilton County,suburban,South,East South Central,21.0,13820.0,692.852,Alabama,44428.0,27967.0
1023,AL,Choctaw County,rural,South,East South Central,312.0,,913.467,Alabama,12589.0,7602.0
1025,AL,Clarke County,rural,South,East South Central,312.0,,1238.42,Alabama,23622.0,14655.0
1027,AL,Clay County,rural,South,East South Central,190.0,,603.962,Alabama,13235.0,8225.0
1029,AL,Cleburne County,rural,South,East South Central,303.0,,560.105,Alabama,14910.0,9100.0
1031,AL,Coffee County,rural,South,East South Central,188.0,21460.0,678.9860000000001,Alabama,52342.0,32415.0
1033,AL,Colbert County,small/mid,South,East South Central,140.0,22520.0,592.619,Alabama,55241.0,34061.0
1035,AL,Conecuh County,rural,South,East South Central,380.0,,850.177,Alabama,12067.0,7127.0
1037,AL,Coosa County,rural,South,East South Central,190.0,45180.0,650.911,Alabama,10663.0,6634.0
1039,AL,Covington County,rural,South,East South Central,60.0,,1030.457,Alabama,37049.0,22257.0
1041,AL,Crenshaw County,rural,South,East South Central,60.0,,608.865,Alabama,13772.0,8500.0
1043,AL,Cullman County,rural,South,East South Central,120.0,18980.0,734.78,Alabama,83768.0,52235.0
1045,AL,Dale County,rural,South,East South Central,188.0,37120.0,561.127,Alabama,49172.0,30794.0
1047,AL,Dallas County,rural,South,East South Central,458.0,42820.0,978.716,Alabama,37196.0,22967.0
1049,AL,DeKalb County,rural,South,East South Central,558.0,,777.0989999999999,Alabama,71513.0,43648.0
1051,AL,Elmore County,small/mid,South,East South Central,60.0,33860.0,618.444,Alabama,81209.0,53320.0
1053,AL,Escambia County,rural,South,East South Central,380.0,,945.11,Alabama,36633.0,23026.0
1055,AL,Etowah County,small/mid,South,East South Central,558.0,23460.0,535.286,Alabama,102268.0,64010.0
1057,AL,Fayette County,rural,South,East South Central,462.0,,627.684,Alabama,16302.0,9834.0
1059,AL,Franklin County,rural,South,East South Central,140.0,,633.918,Alabama,31362.0,18895.0
1061,AL,Geneva County,small/mid,South,East South Central,188.0,20020.0,574.47,Alabama,26271.0,15997.0
1063,AL,Greene County,rural,South,East South Central,216.0,,647.023,Alabama,8111.0,4732.0
1065,AL,Hale County,small/mid,South,East South Central,216.0,46220.0,643.9830000000001,Alabama,14651.0,8883.0
1067,AL,Henry County,small/mid,South,East South Central,188.0,20020.0,561.75,Alabama,17205.0,10261.0
1069,AL,Houston County,small/mid,South,East South Central,188.0,20020.0,579.851,Alabama,105882.0,66189.0
1071,AL,Jackson County,rural,South,East South Central,106.0,42460.0,1077.987,Alabama,51626.0,32111.0
1073,AL,Jefferson County,urban,South,East South Central,21.0,13820.0,1111.172,Alabama,658573.0,426047.0
1075,AL,Lamar County,rural,South,East South Central,462.0,,604.846,Alabama,13805.0,8287.0
1077,AL,Lauderdale County,small/mid,South,East South Central,140.0,22520.0,668.2439999999999,Alabama,92729.0,58470.0
1079,AL,Lawrence County,small/mid,South,East South Central,120.0,19460.0,690.682,Alabama,32924.0,20644.0
1081,AL,Lee County,small/mid,South,East South Central,22.0,12220.0,607.5509999999999,Alabama,164542.0,114027.0
1083,AL,Limestone County,small/mid,South,East South Central,120.0,26620.0,559.956,Alabama,98915.0,64617.0
1085,AL,Lowndes County,small/mid,South,East South Central,60.0,33860.0,715.9110000000001,Alabama,9726.0,5924.0
1087,AL,Macon County,rural,South,East South Central,22.0,,608.807,Alabama,18068.0,11696.0
1089,AL,Madison County,small/mid,South,East South Central,120.0,26620.0,801.6039999999999,Alabama,372909.0,246270.0
1091,AL,Marengo County,rural,South,East South Central,312.0,,976.893,Alabama,18863.0,11502.0
