fips,date,count
0,2021-01-11,138425
1000,2021-06-14,20574
1001,2021-06-13,154
1003,2021-06-13,650
1009,2021-01-21,155
1015,2021-03-30,502
1017,2021-03-29,2
1019,2021-06-13,97
1023,2021-03-30,24
1027,2021-03-29,51
1029,2021-03-30,53
1031,2021-03-29,117
1033,2021-03-30,72
1037,2021-03-29,37
1045,2021-06-13,81
1049,2021-06-13,196
1055,2020-08-02,538
1057,2020-05-28,61
1059,2021-06-13,88
1069,2021-03-30,397
1071,2021-06-13,209
1073,2021-06-13,1090
1093,2021-06-13,185
1095,2021-03-29,282
1097,2021-03-29,1500
1103,2021-03-30,662
1107,2021-06-13,90
1109,2021-06-13,66
1111,2021-03-29,73
1115,2021-03-29,213
1117,2021-03-29,448
1121,2021-03-30,329
1129,2021-03-29,51
4000,2021-03-01,36704
4001,2021-03-30,69
4003,2020-05-29,171
4009,2020-01-28,30
4013,2020-04-24,5306
4015,2021-03-30,414
4017,2021-03-30,271
4019,2021-01-05,1606
4025,2021-03-29,487
4027,2021-06-13,462
5000,2020-10-29,13029
5005,2021-06-13,121
5007,2020-12-07,582
5009,2021-06-13,125
5027,2021-06-13,67
5031,2021-03-30,293
5033,2021-03-30,189
5035,2021-03-29,119
5037,2021-06-13,76
5043,2021-01-21,45
5045,2021-06-13,317
5047,2021-03-29,73
5057,2021-06-13,79
5061,2021-03-29,28
5063,2021-03-30,33
5069,2021-06-13,196
5071,2021-03-29,79
5085,2020-07-04,200
5087,2021-03-29,1
5089,2021-06-13,75
5095,2021-06-13,3
5099,2021-03-29,38
5103,2021-03-29,145
5111,2021-06-13,76
5115,2021-03-30,168
5119,2021-01-05,994
5123,2021-06-13,31
5125,2021-06-13,225
5129,2020-06-29,10
5137,2021-06-13,41
5139,2021-03-29,162
5141,2021-06-13,68
5143,2021-03-30,495
5145,2021-03-30,167
6000,2021-06-14,101517
6001,2020-05-02,1753
6005,2021-03-30,54
6007,2020-05-02,432
6009,2020-05-02,79
6011,2020-05-02,46
6013,2020-05-02,694
6015,2020-05-02,48
6017,2021-06-13,299
6019,2021-06-14,0
6021,2020-05-02,53
6023,2020-05-02,210
6025,2020-05-02,222
6027,2020-04-11,24
6029,2020-05-02,1540
6031,2021-03-30,447
6033,2021-03-30,190
6035,2020-05-02,76
6037,2021-06-14,14737
6039,2020-08-18,459
6041,2021-06-13,196
6043,2020-05-02,16
6045,2020-05-02,194
6047,2021-06-02,744
6049,2020-05-02,25
6051,2020-05-02,20
6053,2021-06-13,903
6055,2021-03-30,218
6057,2021-03-29,180
6059,2021-06-14,3326
6061,2021-06-13,632
6063,2020-05-02,27
6065,2021-06-14,3576
6067,2020-05-02,2399
6069,2020-05-02,53
6071,2020-05-02,4649
6073,2020-05-02,4047
6075,2021-02-16,864
6077,2020-05-02,1148
6079,2020-05-02,368
6081,2020-05-02,527
6083,2021-03-30,681
6085,2021-04-17,0
6087,2021-06-13,391
6089,2021-06-13,406
6093,2021-03-29,74
6095,2021-03-30,654
6097,2020-05-02,561
6099,2021-03-30,1126
6101,2020-05-02,152
6103,2021-06-13,170
6105,2020-05-02,49
6107,2021-06-13,1502
6109,2020-05-02,102
6111,2020-05-02,892
6113,2020-05-02,169
6115,2021-06-13,232
8000,2021-06-13,13748
8001,2021-03-29,685
8005,2021-03-30,819
8011,2021-03-29,71
8013,2021-03-30,466
8031,2020-12-01,1498
8035,2021-06-13,281
8041,2021-01-11,1292
8059,2021-06-13,964
8069,2021-06-13,506
8077,2021-06-13,477
8085,2020-08-28,39
8097,2021-06-13,9
8101,2021-03-30,409
8125,2021-03-30,20
9000,2021-06-13,8983
10000,2021-05-01,4317
11001,2021-04-09,1473
12000,2021-06-13,81181
12001,2021-03-29,804
12003,2020-09-30,465
12005,2020-09-30,1114
12007,2021-06-13,132
12009,2020-09-30,1537
12011,2021-06-13,3494
12013,2021-03-29,64
